Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-08-05,Eintracht Frankfurt,Bayern Munich,1,6,A,8.0,23.0,2.0,10.0,5.0,6.0,2.0,0.0,0.0,0.0,6.0,5.0,1.5,5.84,5.13,1.52
2223,2022-08-06,FC Augsburg,SC Freiburg,0,4,A,10.0,19.0,2.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,3.3,3.5,2.15,3.53,3.59,2.17
2223,2022-08-06,VfL Bochum,FSV Mainz 05,1,2,A,16.0,13.0,3.0,6.0,3.0,5.0,2.0,3.0,0.0,0.0,3.2,3.4,2.2,3.34,3.43,2.32
2223,2022-08-06,Borussia Monchengladbach,TSG Hoffenheim,3,1,H,18.0,2.0,8.0,1.0,4.0,2.0,1.0,4.0,0.0,1.0,2.05,4.2,3.0,2.15,4.22,3.12
2223,2022-08-06,Union Berlin,Hertha,3,1,H,18.0,9.0,8.0,3.0,5.0,4.0,2.0,3.0,0.0,0.0,1.72,3.75,4.5,1.79,3.78,4.97
2223,2022-08-06,VfL Wolfsburg,Werder Bremen,2,2,D,13.0,10.0,3.0,5.0,2.0,5.0,2.0,2.0,0.0,0.0,1.85,3.8,3.8,1.93,3.7,4.29
2223,2022-08-06,Borussia Dortmund,Bayer Leverkusen,1,0,H,13.0,8.0,4.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.2,3.2,2.08,4.22,3.28
2223,2022-08-07,VfB Stuttgart,RB Leipzig,1,1,D,11.0,27.0,2.0,9.0,1.0,9.0,2.0,1.0,0.0,0.0,4.5,3.8,1.75,4.44,4.12,1.8
2223,2022-08-07,1. FC Koln,Schalke 04,3,1,H,30.0,6.0,10.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,1.7,4.0,4.5,1.75,4.28,4.58
2223,2022-08-12,SC Freiburg,Borussia Dortmund,1,3,A,16.0,16.0,7.0,7.0,9.0,2.0,1.0,3.0,0.0,0.0,3.0,3.75,2.2,3.15,3.83,2.26
2223,2022-08-13,Schalke 04,Borussia Monchengladbach,2,2,D,14.0,14.0,5.0,9.0,2.0,7.0,4.0,2.0,0.0,0.0,3.1,3.8,2.15,3.21,3.81,2.23
2223,2022-08-13,Werder Bremen,VfB Stuttgart,2,2,D,5.0,14.0,3.0,7.0,2.0,5.0,4.0,2.0,0.0,0.0,2.25,3.6,3.0,2.36,3.62,3.1
2223,2022-08-13,RB Leipzig,1. FC Koln,2,2,D,9.0,12.0,5.0,3.0,2.0,7.0,1.0,4.0,1.0,0.0,1.44,4.75,7.0,1.44,4.91,7.76
2223,2022-08-13,Hertha,Eintracht Frankfurt,1,1,D,11.0,11.0,5.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,3.0,3.5,2.3,3.12,3.57,2.37
